Uuid,Void/Retire,Name,Description
563ACC45-E3CE-4930-8F34-4F41CB35017F,,TRACE_FOLLOWUP,Followup trace encounter
cb6be652-c5ee-447d-9d94-1100ffb26aa8,,PDC_INITIAL,Initial PDC encounter
789536a6-2c12-40a7-a05a-8400eb2fcbcf,,PDC_FOLLOWUP,Followup PDC encounter
6ed701a4-152f-11ec-82a8-0242ac130003,,PDC_TRISOMY21_INITIAL,Trisomy21 PDC Encounter
f770abb3-8470-4c63-a5c6-188ab384f8df,,PDC_TRISOMY21_FOLLOWUP,Trisomy21 PDC Encounter - followup
dbfc3984-6466-4ce0-a53f-fa646d74c41f,,PDC_CLEFT_CLIP_PALLET_INITIAL,Cleft Clip Pallet PDC Encounter
cfca0af9-86c9-4717-83b7-74e61f1a7bbf,,PDC_CLEFT_CLIP_PALLET_FOLLOWUP,Cleft Clip Pallet PDC Encounter
64148b3f-f732-4809-9a23-8b8ebe11279a,,PDC_DEVELOPMENTAL_DELAY_FOLLOWUP,Developmental Delay  PDC Encounter - followup
3aa5f5fa-a0aa-49bc-b715-1c1dd68e72d4,,PDC_DEVELOPMENTAL_DELAY_INITIAL,Developmental Delay  PDC Encounter - initial
0a2f1f74-2400-4cfd-8a9e-d2141622c6d8,,PDC_OTHER_DIAGNOSIS_INITIAL,PDC Other Diagnosis Encounter - initial
60bfcb32-486a-11ec-81d3-0242ac130003,,PDC_OTHER_DIAGNOSIS_FOLLOWUP,PDC Other Diagnosis Encounter - visit
1b78a770-4d28-11ec-81d3-0242ac130003,,PDC_HOSPITALIZATION_HISTORY,PDC Hospitalization History Encounter
5595afb1-93fb-4620-bd6d-9f509acfddde,,VISION_TEST,Vision test encounter
4dae2743-e48e-4232-bf4e-d6c7ed7fad81,,HEARING_TEST,Hearing test encounter
5e46e6fa-1d33-44f7-88f5-38d4d8dbe0c2,,RADIOLOGY_SCREENING,Radiology screening encounter
98f13fb0-5024-11ec-bf63-0242ac130002,,PDC_COMPLICATIONS,PDC Complications Encounter
B1DA5916-FAEF-4A8C-A799-949C0BC8D2C6,,PDC_TRISOMY21_LAB_TESTS,PDC lab tests results
366E8C89-2AD0-4FDC-A8FE-E39435B11331,,PDC_HB_AND_OTHER_LAB_TESTS,PDC hb and other lab tests results
89CD6BA9-CB92-416C-BC7E-446764344AA1,,HIE_AND_DEV_DELAY_LAB_TESTS,PDC HIE/Developmental Delay lab tests encounter
F1EB0CA8-8E7C-49B5-A03C-B0B9C164181E,,NUTRITION_INITIAL,Initial nutrition encounter
87EB5825-DFDD-4EE9-8EEC-CDBE72E76456,,NUTRITION_FOLLOWUP,Followup nutrition encounter
f4add6a6-0186-4617-b919-e5cdb933e25d,,NUTRITION_ADULTS_INITIAL,initial Adults Nutrition encounter
e1a92830-897c-42fe-91d4-73f61f38d1a7,,NUTRITION_ADULTS_FOLLOWUP,followup Adults Nutrition encounter
7ca19e74-5592-4e54-a899-575321803d9f,,NUTRITION_PDC_INITIAL,initial PDC Nutrition encounter
771cb90d-442c-4b84-bd25-dd9b6a82715a,,NUTRITION_PDC_FOLLOWUP,followup PDC Nutrition encounter
65def8b5-6714-443e-a59a-bc481e9fd842,,NUTRITION_INFANT_INITIAL,initial Infant Nutrition encounter
cf05c255-f1c9-465f-abbd-de980403b4b6,,NUTRITION_INFANT_FOLLOWUP,followup Infant Nutrition encounter
d67b208d-e819-4888-9bb8-60dcb8ab2b1f,,NUTRITION_PREGNANT_TEENS_INITIAL,initial Pregnant Teens Nutrition encounter
d235e109-d4f7-4493-ba10-c75d9046f8bf,,NUTRITION_PREGNANT_TEENS_FOLLOWUP,followup Pregnant Teens Nutrition encounter
49085C00-9EA8-481D-A5C5-FB685822D5AB,,TEEN_CLUB_INITIAL,Initial teen club encounter
A8CF446D-0FA4-4D44-AF46-1811F73BE65A,,TEEN_CLUB_FOLLOWUP,Followup teen club encounter
76ae6337-13e7-4522-bbeb-9fcf68bedf87,,TEEN_CLUB_INTAKE_SURVEY,Teen club intake survey encounter
56C2D952-DB11-4B47-B248-79C1B2A88E88,,SICKLE_CELL_DISEASE_INITIAL,Initial sickle cell disease encounter
D4073EB7-60B1-4586-B062-13FCE4CBC9E8,,SICKLE_CELL_DISEASE_FOLLOWUP,Followup visit encounter for sickle cell disease
119A7061-ABC7-4759-88BF-086ADC8EBB80,,SICKLE_CELL_QUARTERLY_SCREENING,Quarterly screening for sickle cell disease
0C0CFAD6-0F92-4B19-8B6A-675005BE7F86,,SICKLE_CELL_ANNUAL_SCREENING,Annual screening for sickle cell disease
AD864EB5-7042-4080-AE81-E0A4CF8CED43,,SICKLE_CELL_HOSPITALIZATIONS,Hospitalizations for patients with sickle cell disease
664b89ca-977f-11e1-8993-905e29aff6c1,,OLD_TB_INITIAL,Initial visit for TB Patient
664b8ab0-977f-11e1-8993-905e29aff6c1,,OLD_TB_FOLLOWUP,Followup visit for TB Patient
853B7AF6-FFC6-452A-9178-6A48BBA752EF,,TB_INITIAL,Initial visit encounter for TB Patient
61545FD5-4EBC-4E01-B349-304195254A73,,TB_FOLLOWUP,Followup visit encounter for TB Patient
166b77b9-1e75-4c74-856d-3038c0ec645b,,TB_TESTS,TB test results and HIV tests history
6a23b67f-3171-4b08-9d3d-40bcf833a2e5,,TB_POST_LUNG_DISEASE,TB post lung disease encounter
