Uuid,Void/Retire,Name,Description
f01c54cb-2225-471a-9cd5-d348552c337c,,Clinic or Hospital Visit,"Patient visits the clinic/hospital (as opposed to a home visit, or telephone contact)"
1d697d92-a000-11ea-b1a0-d0577bb73cd4,,mUzima Visit,Default mUzima Visit
