Uuid,Role name,Description,Inherited roles,Privileges
9c419a7e-f11f-4d66-8944-aab24b538f9c,Clinical data,Access to clinical data,,View clinical data
d2742175-fdf4-4d3d-81cc-f8a072df0688,Edit nutrition patients,This role allows the user to view and edit patient nutrition data.,View nutrition patients,Add Allergies; Add Encounters; Add Observations; Add Patient Identifiers; Add Patient Programs; Add Patients; Add People; Add Visits; Delete Encounters; Delete Observations; Delete Patient Identifiers; Delete Patient Programs; Delete Patients; Delete People; Delete Visits; Edit Allergies; Edit Observations; Edit Orders; Edit Patient Identifiers; Edit Patient Programs; Edit Patients; Edit People; Edit Users; Edit Visits; Form Entry; Get Concepts; Get Encounter Roles; Remove Allergies; Remove Problems; SQL Level Access; View Calculations
B29C7016-303E-4B95-B31E-D6B89F16F443,Manage nutrition program,Access to managing the nutrition program,Anonymous; Provider; View nutrition patients; Edit nutrition patients,
6e1ec1d3-80bd-4e08-8665-75784f09df02,View nutrition patients,View patient records who are enrolled in the nutrition program.,,Get Order Types; Get Field Types; Get Identifier Types; Get Forms; Get Orders; Get Patient Programs; Get People; Get Person Attribute Types; Get Allergies; Patient Overview - View Patient Actions; Get Problems; Get Programs; Patient Dashboard - View Demographics Section; Manage Forms; View Navigation Menu; Get Visit Types; Get Visit Attribute Types; Get Visits; Get Providers; Patient Dashboard - View Visits Section; View Unpublished Forms; Patient Overview - View Programs; Patient Overview - View Problem List; Patient Overview - View Allergies; Get Encounters; Get Users; Get Locations; Get Encounter Types; Get Patients; Get Observations; Get Patient Identifiers; Patient Dashboard - View Encounters Section; Manage Encounter Roles; Patient Dashboard - View Patient Summary
