Uuid,Void/Retire,Name,Strength,Concept drug,Concept dosage form
1892c860-a89d-11df-bba5-000c297f1161,,AZT+3TC (Zidovudine and Lamivudine tablet),1tab(s),6549237a-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892c93c-a89d-11df-bba5-000c297f1161,,ABC (Abacavir 300mg tablet),300mg,654a435e-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892ca18-a89d-11df-bba5-000c297f1161,,3TC (Lamivudine syrup 10mg/mL from 100mL bottle),10mL,6549215e-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
1892cafe-a89d-11df-bba5-000c297f1161,,3TC (Lamivudine 150mg tablet),150mg,6549215e-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892cbe4-a89d-11df-bba5-000c297f1161,true,INH or H (Isoniazid) no dose strength ,,65498bbc-977f-11e1-8993-905e29aff6c1,
1892ccca-a89d-11df-bba5-000c297f1161,true,RIF or R (Rifampin) no dose strength,,654a0fd8-977f-11e1-8993-905e29aff6c1,
1892cda6-a89d-11df-bba5-000c297f1161,true,E (Ethambutol) no dose strength,,6549f0b6-977f-11e1-8993-905e29aff6c1,
1892ce82-a89d-11df-bba5-000c297f1161,true,Z (Pyrazinamide mg ) no dose strength,,656e0c08-977f-11e1-8993-905e29aff6c1,
1892cf68-a89d-11df-bba5-000c297f1161,true,S (Streptomycin) no dose strength,,65484176-977f-11e1-8993-905e29aff6c1,
1892d044-a89d-11df-bba5-000c297f1161,,KM (Kanamycin 1gm vial),1g,6559b082-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
1892d120-a89d-11df-bba5-000c297f1161,,AMK (Amikacin 500mg/2mL ),500mg/2mL,655978a6-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
1892d206-a89d-11df-bba5-000c297f1161,,CM (Capreomicin 1g vial ),1g,65599868-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
1892d2e2-a89d-11df-bba5-000c297f1161,,VI (Viomycin),,655f5258-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892d3c8-a89d-11df-bba5-000c297f1161,true,CPX (Ciprofloxacin),,6549eb66-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892d4a4-a89d-11df-bba5-000c297f1161,true,OFX (Ofloxacin),,6559b186-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892d58a-a89d-11df-bba5-000c297f1161,true,LFX (Levofloxacin),,6549fb6a-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892d670-a89d-11df-bba5-000c297f1161,,Moxi (Moxifloxacin 400mg tablet),400mg,654b2cc4-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892d74c-a89d-11df-bba5-000c297f1161,,Gati (Gatifloxacin 400 mg tablet),400mg,6559af74-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892d832-a89d-11df-bba5-000c297f1161,,Ethio (Ethionamide 250mg tablet),250mg,6559ad62-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892d90e-a89d-11df-bba5-000c297f1161,,CS (Cycloserine 250mg tablet),250mg,6559ac5e-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892d9ea-a89d-11df-bba5-000c297f1161,,Prothio (Prothionamide 250mg tablet),250mg,6559ae70-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892dac6-a89d-11df-bba5-000c297f1161,,TRD (Terizidone 250mg tablet),250mg,655aa9b0-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892dbac-a89d-11df-bba5-000c297f1161,,PAS (P-aminosalyicylic acid 4g sachet),1Units,6559b294-977f-11e1-8993-905e29aff6c1,656924c2-977f-11e1-8993-905e29aff6c1
1892dc88-a89d-11df-bba5-000c297f1161,true,CFZ (Clofazimine),,6559ab46-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892dd6e-a89d-11df-bba5-000c297f1161,,AMX/CLV (Amoxicillin/Clavulantic Acid 500/125mg ta,1tab(s),65484e78-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892de4a-a89d-11df-bba5-000c297f1161,,Clarithromycin (500mg tablet),500mg,655f546a-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
