Uuid,Privilege name,Description
657e8778-1665-4077-b2ac-8b2c24be9481,Test Flags,"Allows the user to test a flag, or set of flags, against a Patient set"
92ba6126-366d-43f7-b5d1-40912861f6e0,Validate Objects,Allows to validate data and metadata
22ab8dbf-0b5f-47d2-87a8-39bee9b4f54a,View Concept Map Types,Able to view concept map types
0e880336-1564-48d7-b13b-a0fe7187f501,View Concept Reference Terms,Able to view concept reference terms
e5bda654-d10e-43c1-8080-4b21b3005c99,View Data Exports,View Data Exports
92d6b28e-021c-4b7a-89e6-d64c7001a881,View Database Changes,Able to view database changes from the admin screen
03e92a29-cc75-449f-8a16-33ba5fcc507d,View Encounter Roles,Able to view encounter roles
71ec8634-b8b8-4f0f-8650-8857e5b7db46,View Facility Data Reports,Allows user to view reports that are saved.
c85c289c-2695-102d-b4c2-001d929acb54,View FormEntry Archive,Allows the user to view the formentry archive
c85c295a-2695-102d-b4c2-001d929acb54,View FormEntry Error,Allows a user to view a formentry error
c85c2d38-2695-102d-b4c2-001d929acb54,View FormEntry Queue,Allows user to view the queue items
5de6a80e-6f23-46ea-b40a-2e350ca0c85f,View HL7 Inbound Archive,Able to view an HL7 archive item
5e28946b-f8a2-4bf3-825a-924b3e91a5ef,View HL7 Inbound Exception,Able to view an HL7 archive item
b15c6bb9-6a1f-4c07-9a46-bef1b9066989,View HL7 Inbound Queue,Able to view an HL7 Queue item
8a307601-ef2e-47f6-a8c7-eefa42e33a14,View HL7 Source,Able to view an HL7 Source
2278c605-060e-45b6-98d6-de3532c758a1,View Location Attribute Types,Able to view location attribute types
c85c556a-2695-102d-b4c2-001d929acb54,View Patient Sets,Core Privilege
a712d005-aefb-4d9b-a992-68da665fbb19,View Providers,Able to view Provider
05f50c6c-b2fc-4171-8611-c7e60dcde1ec,View Rule Definitions,Allows viewing of user-defined rules. (This privilege is not necessary to run rules under normal usage.)
0205b0c5-8562-4766-8b07-1da80c12c5b5,View Synchronization Records,sync
d4cf9e64-37ad-4f44-b732-de87a08b6632,View Synchronization Status,sync
235a8652-ff9a-4596-88da-5c9b4470b163,View Usage Statistics,Able to view usage statistics
37a14bff-de53-4a88-b13c-73f0e5971a20,View Visit Attribute Types,Able to view visit attribute types
044bfeaa-ae5f-4ae0-9f30-0b19a6faf9ea,View Visit Types,Able to view visit types
2b0c87de-afb5-4b43-a226-49a660bc536c,View Visits,Able to view visits
