Uuid,Concept source,Url
249b13c8-72fa-4b96-8d3d-b200efed985e,LOINC,http://loinc.org
2b3c1ff8-768a-102f-83f4-12313b04a615,CIEL,https://openconceptlab.org/orgs/CIEL/sources/CIEL
