Southern|Balaka|Kalembo|Mgambo
Southern|Balaka|Kalembo|Michesi
Southern|Balaka|Kalembo|Milambe
Southern|Balaka|Kalembo|Minama
Southern|Balaka|Kalembo|Minaniwa
Southern|Balaka|Kalembo|Misikidzi
Southern|Balaka|Kalembo|Misowa
Southern|Balaka|Kalembo|Mizinga
Southern|Balaka|Kalembo|Mjale
Southern|Balaka|Kalembo|Mjale A
Southern|Balaka|Kalembo|Mkanda
Southern|Balaka|Kalembo|Mkomwana
Southern|Balaka|Kalembo|Mkwatula
Southern|Balaka|Kalembo|Mkwekwele A
Southern|Balaka|Kalembo|Mkwekwele C
Southern|Balaka|Kalembo|Mkweta
Southern|Balaka|Kalembo|Mkweya
Southern|Balaka|Kalembo|Mlenga
Southern|Balaka|Kalembo|M'manga
Southern|Balaka|Kalembo|Mmannga
Southern|Balaka|Kalembo|Mnanala
Southern|Balaka|Kalembo|Mnyaka
Southern|Balaka|Kalembo|Mogoya
Southern|Balaka|Kalembo|Mpalasa
Southern|Balaka|Kalembo|Mpale Trading Centre
Southern|Balaka|Kalembo|Mpanga
Southern|Balaka|Kalembo|Mpango
Southern|Balaka|Kalembo|Mpanje
Southern|Balaka|Kalembo|Mpata
Southern|Balaka|Kalembo|Mpemba
Southern|Balaka|Kalembo|Mponda { Musa}
Southern|Balaka|Kalembo|Msaliwa
Southern|Balaka|Kalembo|Msamanyade
Southern|Balaka|Kalembo|Msamati
Southern|Balaka|Kalembo|Msuwo
Southern|Balaka|Kalembo|Mtambalika
Southern|Balaka|Kalembo|Mtende
Southern|Balaka|Kalembo|Mtenga
Southern|Balaka|Kalembo|Mthumbwe
Southern|Balaka|Kalembo|Mtila
Southern|Balaka|Kalembo|Muli
Southern|Balaka|Kalembo|Muocha
Southern|Balaka|Kalembo|Musa
Southern|Balaka|Kalembo|Mussa
Southern|Balaka|Kalembo|Muthuwa
Southern|Balaka|Kalembo|Mwachande
Southern|Balaka|Kalembo|Mwalabu A
Southern|Balaka|Kalembo|Mwalabu B
Southern|Balaka|Kalembo|Mwalero
Southern|Balaka|Kalembo|Mwawa
Southern|Balaka|Kalembo|Mwima Trading Centre
Southern|Balaka|Kalembo|Nakhonyo
Southern|Balaka|Kalembo|Nambazo
Southern|Balaka|Kalembo|Namingumi
Southern|Balaka|Kalembo|Naminguni
Southern|Balaka|Kalembo|Namwera
Southern|Balaka|Kalembo|Nandumbo
Southern|Balaka|Kalembo|Nanyako
Southern|Balaka|Kalembo|Ndembwe
Southern|Balaka|Kalembo|Ngasale I
Southern|Balaka|Kalembo|Ngulinga (Ngasal
Southern|Balaka|Kalembo|Njoka
Southern|Balaka|Kalembo|Nkanongwa
Southern|Balaka|Kalembo|Nkundika
Southern|Balaka|Kalembo|Nluma
Southern|Balaka|Kalembo|Nsanja
Southern|Balaka|Kalembo|Nsanza
Southern|Balaka|Kalembo|Nsulu
Southern|Balaka|Kalembo|Ntelela
Southern|Balaka|Kalembo|Ntetemela
Southern|Balaka|Kalembo|Ntole
Southern|Balaka|Kalembo|Ntonda
Southern|Balaka|Kalembo|Nyanga
Southern|Balaka|Kalembo|Nyangwa
Southern|Balaka|Kalembo|Nyanyika
Southern|Balaka|Kalembo|Peter
Southern|Balaka|Kalembo|Peter Kasanga
Southern|Balaka|Kalembo|Pongolani
