Uuid,Void/Retire,Name,Description
bad21515-fd04-4ff6-bfcd-78456d12f168,,Dispenser,Provider that dispenses medications or other products
98bf2792-3f0a-4388-81bb-c78b29c0df92,,Nurse,A person educated and trained to care for the sick or disabled.
4f10ad1a-ec49-48df-98c7-1391c6ac7f05,,Consulting Clinician,Clinician who is primarily responsible for examining and diagnosing a patient
cbfe0b9d-9923-404c-941b-f048adc8cdc0,,Administrative Clerk,This role is used for creating a Check-in encounter
c458d78e-8374-4767-ad58-9f8fe276e01c,,Ordering Provider,"For encounters associated with orders, used to store the provider responsible for placing the order"
